device_id,rotational_speed_rpm,torque_nm,tool_wear_min,air_temperature_c,process_temperature_c,machine_failure,failure_type
machine_M,1551,42.8,0,24.950000000000045,35.450000000000045,0,None
machine_L,1408,46.3,3,25.05000000000001,35.55000000000001,0,None
machine_L,1498,49.4,5,24.950000000000045,35.35000000000002,0,None
machine_L,1433,39.5,7,25.05000000000001,35.450000000000045,0,None
machine_L,1408,40.0,9,25.05000000000001,35.55000000000001,0,None
machine_M,1425,41.9,11,24.950000000000045,35.450000000000045,0,None
machine_L,1558,42.4,14,24.950000000000045,35.450000000000045,0,None
machine_L,1527,40.2,16,24.950000000000045,35.450000000000045,0,None
machine_M,1667,28.6,18,25.150000000000034,35.55000000000001,0,None
machine_M,1741,28.0,21,25.350000000000023,35.85000000000002,0,None
machine_H,1782,23.9,24,25.25,35.75,0,None
machine_H,1423,44.3,29,25.450000000000045,35.950000000000045,0,None
machine_M,1339,51.1,34,25.450000000000045,35.950000000000045,0,None
machine_M,1742,30.0,37,25.450000000000045,36.05000000000001,0,None
machine_L,2035,19.6,40,25.450000000000045,36.05000000000001,0,None
machine_L,1542,48.4,42,25.450000000000045,36.05000000000001,0,None
machine_M,1311,46.6,44,25.450000000000045,36.05000000000001,0,None
machine_M,1410,45.6,47,25.55000000000001,36.05000000000001,0,None
machine_H,1306,54.5,50,25.650000000000034,36.05000000000001,0,None
machine_M,1632,32.5,55,25.75,36.150000000000034,0,None
machine_H,1375,42.7,58,25.75,36.150000000000034,0,None
machine_L,1450,44.8,63,25.650000000000034,36.150000000000034,0,None
machine_M,1581,30.7,65,25.75,36.150000000000034,0,None
machine_L,1758,25.7,68,25.850000000000023,36.25,0,None
machine_M,1561,37.3,70,25.850000000000023,36.25,0,None
machine_L,1861,23.3,73,25.850000000000023,36.35000000000002,0,None
machine_L,1512,39.0,75,25.950000000000045,36.35000000000002,0,None
machine_H,1811,24.6,77,25.950000000000045,36.25,0,None
machine_L,1439,44.2,82,25.950000000000045,36.25,0,None
machine_L,1693,30.1,84,25.850000000000023,36.25,0,None
machine_M,1339,48.2,86,25.950000000000045,36.35000000000002,0,None
machine_L,1798,25.5,89,25.850000000000023,36.25,0,None
machine_L,1419,48.3,91,25.850000000000023,36.25,0,None
machine_L,1665,32.5,93,25.75,36.150000000000034,0,None
machine_M,1559,34.7,95,25.650000000000034,35.950000000000045,0,None
machine_M,1452,48.6,98,25.650000000000034,36.05000000000001,0,None
machine_M,1581,36.7,101,25.75,36.05000000000001,0,None
machine_L,1439,39.2,104,25.650000000000034,35.950000000000045,0,None
machine_H,1379,50.7,106,25.75,36.05000000000001,0,None
machine_L,1350,52.5,111,25.650000000000034,35.950000000000045,0,None
machine_L,1362,45.4,113,25.650000000000034,35.950000000000045,0,None
machine_L,1368,50.8,115,25.650000000000034,35.950000000000045,0,None
machine_M,1368,49.1,117,25.650000000000034,35.950000000000045,0,None
machine_H,1372,48.5,120,25.650000000000034,36.05000000000001,0,None
machine_M,1472,47.5,125,25.650000000000034,35.950000000000045,0,None
machine_L,1489,49.1,128,25.650000000000034,35.950000000000045,0,None
machine_M,1843,25.8,130,25.55000000000001,35.85000000000002,0,None
machine_L,1418,46.3,133,25.650000000000034,35.950000000000045,0,None
machine_H,1425,53.9,135,25.650000000000034,36.05000000000001,0,None
machine_M,1412,44.1,140,25.75,36.05000000000001,0,None
machine_L,2861,4.6,143,25.75,35.950000000000045,1,PWF
machine_L,1383,54.9,145,25.75,35.950000000000045,0,None
